date,actual,gru_baseline_42,lstm_baseline_42,tcn_baseline_42,transformer_baseline_42,gru_baseline_73,lstm_baseline_73,tcn_baseline_73,transformer_baseline_73,gru_baseline_1234,lstm_baseline_1234,tcn_baseline_1234,transformer_baseline_1234,gru_baseline_31415,lstm_baseline_31415,tcn_baseline_31415,transformer_baseline_31415,gru_baseline_271828183,lstm_baseline_271828183,tcn_baseline_271828183,transformer_baseline_271828183,gru_rs_42,lstm_rs_42,tcn_rs_42,transformer_rs_42,gru_rs_73,lstm_rs_73,tcn_rs_73,transformer_rs_73,gru_rs_1234,lstm_rs_1234,tcn_rs_1234,transformer_rs_1234,gru_rs_31415,lstm_rs_31415,tcn_rs_31415,transformer_rs_31415,gru_rs_271828183,lstm_rs_271828183,tcn_rs_271828183,transformer_rs_271828183,gru_optuna_42,lstm_optuna_42,tcn_optuna_42,transformer_optuna_42,gru_optuna_73,lstm_optuna_73,tcn_optuna_73,transformer_optuna_73,gru_optuna_1234,lstm_optuna_1234,tcn_optuna_1234,transformer_optuna_1234,gru_optuna_31415,lstm_optuna_31415,tcn_optuna_31415,transformer_optuna_31415,gru_optuna_271828183,lstm_optuna_271828183,tcn_optuna_271828183,transformer_optuna_271828183
6/9/2023,6694.023926,6601.002,6552.928,6630.9556,6536.73,6622.957,6491.094,6641.214,6663.125,6608.1636,6610.024,6622.4004,6721.1797,6637.874,6464.7534,6547.147,6614.976,6585.4526,6615.6377,6690.3506,6670.2466,,6634.073,,,,,6653.7983,,,,6643.307,6605.744,,,,,,,6666.873,6641.5986,,6612.724,6627.025,6641.0464,,6594.4116,,,6644.038,,,6616.487,,,,6554.2954,,6639.085,6686.368,6706.608
6/10/2023,6694.023926,6623.8433,6553.171,6645.862,6550.6904,6642.974,6495.8833,6658.9756,6673.885,6627.7896,6622.706,6638.0303,6733.486,6652.925,6471.3296,6570.081,6624.8945,6595.419,6622.783,6720.509,6693.7163,,6657.371,,,,,6674.5527,,,,6663.432,6620.606,,,,,,,6684.8516,6660.7476,,6636.294,6644.4023,6665.629,,6603.441,,,6658.5747,,,6636.696,,,,6590.8574,,6660.7217,6711.29,6723.6797
6/11/2023,6694.023926,6633.396,6554.4033,6644.6733,6549.156,6649.8184,6506.476,6657.5127,6673.5586,6638.817,6632.037,6634.0503,6730.389,6661.4116,6477.8013,6578.704,6624.955,6602.7217,6628.977,6719.759,6691.473,,6667.76,,,,,6674.3604,,,,6661.5156,6619.321,,,,,,,6686.3877,6663.231,,6647.679,6644.2705,6671.3447,,6610.783,,,6657.932,,,6640.5527,,,,6600.877,,6672.122,6710.5615,6727.5527
6/12/2023,6722.373047,6637.671,6556.012,6644.817,6548.9756,6652.9897,6515.1655,6659.6377,6674.057,6644.2896,6635.3926,6639.6655,6730.8457,6665.606,6483.0493,6568.259,6623.869,6607.642,6633.039,6716.486,6690.928,,6670.065,,,,,6674.445,,,,6662.3936,6618.568,,,,,,,6685.569,6663.052,,6650.429,6644.3926,6673.8564,,6616.643,,,6658.7944,,,6641.4023,,,,6605.9766,,6674.6353,6710.262,6729.543
6/13/2023,6719.01416,6650.2197,6555.626,6669.1387,6552.3975,6670.896,6523.4077,6689.6577,6677.7896,6654.0024,6645.546,6666.801,6735.234,6675.9575,6487.2485,6571.663,6624.827,6614.052,6636.9785,6743.4272,6705.772,,6681.2554,,,,,6700.1675,,,,6688.942,6630.131,,,,,,,6714.4155,6677.323,,6660.7373,6670.2217,6684.7627,,6625.5537,,,6681.946,,,6658.1294,,,,6608.6406,,6687.8354,6739.3745,6738.1567
6/14/2023,6699.716797,6654.9395,6560.808,6668.937,6550.269,6674.1245,6526.041,6686.8413,6670.0625,6658.5073,6646.245,6666.194,6723.4556,6685.1943,6488.2476,6583.195,6617.309,6614.342,6638.305,6743.5547,6711.163,,6684.6953,,,,,6696.657,,,,6685.872,6624.2646,,,,,,,6713.4287,6680.913,,6669.8574,6663.916,6685.221,,6638.135,,,6678.2593,,,6665.7886,,,,6619.8364,,6685.8867,6736.8574,6746.8594
6/15/2023,6713.794922,6639.799,6561.472,6648.1865,6530.347,6653.5293,6522.369,6665.942,6654.9263,6650.6045,6635.467,6640.1587,6703.7085,6679.989,6483.669,6589.6797,6597.2583,6607.9854,6636.717,6718.7637,6695.615,,6669.154,,,,,6675.6895,,,,6662.601,6602.5156,,,,,,,6696.8364,6669.908,,6658.353,6640.0527,6671.92,,6638.7104,,,6650.5073,,,6643.997,,,,6614.0435,,6669.487,6719.485,6746.6084
6/16/2023,6698.546875,6650.2197,6568.329,6670.708,6557.383,6669.644,6534.5703,6689.489,6668.3486,6649.586,6642.954,6664.7246,6705.938,6692.266,6499.2744,6600.5503,6603.169,6623.7324,6647.1094,6728.7524,6706.196,,6671.6685,,,,,6693.7915,,,,6680.055,6619.098,,,,,,,6716.7163,6690.733,,6664.4,6659.557,6673.589,,6647.727,,,6672.782,,,6652.1,,,,6617.327,,6672.1,6735.395,6760.095
6/17/2023,6698.546875,6644.3657,6571.6875,6651.619,6560.574,6658.4077,6533.5674,6671.8774,6671.284,6644.643,6633.3486,6646.632,6697.6533,6686.8433,6510.3613,6602.697,6602.2666,6627.806,6651.699,6719.6406,6696.755,,6666.377,6460.802,,6698.5903,,6677.817,6525.317,,,6664.2075,6604.0674,6645.5166,6634.9814,6614.958,,,,6703.8135,6683.897,,6660.2734,6641.352,6667.8984,,6653.0166,,,6652.2983,,,6641.3794,,6674.7485,6679.009,6632.589,,6667.366,6719.074,6761.289
6/18/2023,6698.546875,6641.6543,6572.4673,6651.2695,6560.047,6653.648,6532.595,6665.1914,6670.6924,6641.6953,6630.0117,6647.851,6695.468,6680.939,6517.211,6609.6753,6598.852,6625.7974,6653.0986,6724.9653,6695.6265,,6662.691,6457.6445,,6685.777,,6677.825,6525.3022,,,6662.464,6605.5957,6638.273,6628.6265,6614.884,,,,6707.5854,6680.5557,,6654.6387,6641.143,6666.372,,6651.6465,,,6648.944,,,6637.8374,,6673.3916,6678.027,6637.446,,6665.464,6718.5396,6759.349
6/19/2023,6686.059082,6640.0103,6571.7085,6652.1885,6558.168,6652.5146,6530.066,6663.0347,6670.006,6639.778,6628.3574,6650.3213,6694.97,6676.935,6520.186,6609.2104,6595.6504,6621.7607,6653.1396,6719.957,6692.5786,,6660.7783,6456.747,,6676.465,,6677.501,6524.6777,,,6661.7886,6606.4893,6638.166,6624.579,6614.5854,,,,6707.712,6677.7534,,6650.158,6640.613,6665.4365,,6646.757,,,6649.8643,,,6636.018,,6673.121,6674.995,6637.848,,6664.841,6717.9355,6758.936
6/20/2023,6660.455078,6627.054,6563.702,6637.4194,6544.909,6639.536,6525.55,6652.433,6655.467,6630.215,6622.809,6635.1475,6678.9023,6661.505,6517.279,6601.6543,6583.574,6621.101,6648.061,6702.8574,6677.951,,6649.3955,6432.304,,6661.59,,6665.2427,6512.7285,,,6649.838,6596.7954,6626.388,6613.02,6603.1167,,,,6695.9126,6664.851,,6633.197,6628.757,6653.661,,6634.9927,,,6638.8794,,,6623.7827,,6661.7046,6662.843,6623.2896,,6656.468,6705.581,6748.8594
6/21/2023,6702.625,6603.8335,6550.47,6611.78,6520.521,6614.924,6511.372,6627.8496,6632.68,6614.5073,6600.6855,6610.1206,6660.3047,6638.4097,6502.964,6595.5894,6567.0366,6609.31,6634.1426,6671.115,6656.861,,6626.281,6409.1934,,6637.6035,,6638.9644,6487.5625,,,6625.491,6573.554,6603.952,6589.8057,6576.022,,,,6669.3994,6634.404,,6608.9336,6602.2236,6631.924,,6614.149,,,6621.1475,,,6599.9424,,6639.0845,6639.3433,6603.468,,6634.911,6681.814,6737.436
6/22/2023,6652.26123,6616.5806,6538.802,6647.0176,6532.4575,6633.9385,6504.9194,6666.341,6654.3374,6622.7905,6607.0264,6649.292,6683.1807,6643.243,6488.197,6593.1035,6573.4106,6601.6196,6628.2695,6705.1494,6687.698,,6636.259,6414.2197,,6636.0557,,6678.315,6508.4663,,,6666.708,6598.712,6628.2026,6601.1216,6607.801,,,,6711.6025,6653.9385,,6617.935,6641.1978,6645.481,,6603.6646,,,6660.2593,,,6628.55,,6663.995,6683.608,6608.6074,,6652.898,6724.3047,6754.9883
6/23/2023,6639.73291,6598.116,6528.043,6603.197,6505.1685,6611.909,6495.5723,6620.307,6618.7715,6612.7534,6592.745,6606.346,6654.0146,6628.9863,6472.85,6569.7563,6555.3105,6592.4883,6616.3667,6666.2456,6654.251,,6619.8833,6389.8877,,6625.608,,6629.1357,6480.176,,,6618.594,6564.1167,6596.017,6585.5967,6562.9175,,,,6661.7173,6615.557,,6602.3325,6593.7954,6614.195,,6590.778,,,6627.2905,,,6601.2007,,6638.596,6632.659,6578.987,,6636.9604,6676.2397,6733.8257
6/24/2023,6639.73291,6584.2886,6517.5537,6591.6514,6495.489,6594.9585,6489.8423,6610.457,6622.4004,6605.615,6583.5234,6592.463,6655.405,6615.1533,6460.317,6539.037,6550.389,6583.815,6609.518,6660.1377,6641.249,,6603.149,6377.0396,,6611.331,,6617.8955,6470.394,,,6606.114,6560.165,6585.072,6570.9473,6554.303,,,,6646.735,6605.3833,,6585.8257,6582.3677,6609.1396,,6575.1777,,,6610.0024,,,6590.652,,6624.3955,6623.1226,6563.1626,,6620.0396,6663.4395,6724.813
6/25/2023,6639.73291,6583.167,6509.9395,6593.0664,6493.802,6596.3633,6484.382,6607.682,6623.1772,6602.388,6578.7305,6593.9414,6656.583,6612.405,6452.905,6519.4385,6549.439,6576.6836,6603.34,6654.6733,6639.4785,,6603.4346,6377.5205,,6606.743,,6617.8125,6469.8936,,,6607.467,6558.2554,6589.9077,6572.2017,6552.7563,,,,6645.889,6603.085,,6591.125,6582.461,6606.975,,6569.173,,,6615.988,,,6591.6094,,6624.1226,6623.3076,6549.825,,6616.5693,6663.5586,6723.1484
6/26/2023,6664.667969,6584.729,6504.152,6595.4126,6492.881,6598.5576,6482.305,6611.285,6623.3516,6601.3877,6578.138,6596.3467,6656.6973,6613.604,6449.4727,6529.5815,6549.4834,6572.008,6599.9365,6659.4595,6639.313,,6607.058,6381.6387,,6608.15,,6617.895,6468.801,,,6608.4727,6557.706,6591.078,6576.5073,6552.399,,,,6647.547,6602.4854,,6596.721,6582.6885,6606.4536,,6569.368,,,6616.8755,,,6592.193,,6625.1343,6623.4478,6542.1733,,6617.0312,6664.0044,6721.9575
6/27/2023,6661.878906,6594.0054,6498.788,6617.3906,6500.641,6612.302,6486.724,6629.9766,6633.8887,6608.0435,6590.713,6614.582,6656.4443,6619.6523,6448.4287,6529.0225,6554.216,6582.804,6596.9546,6683.146,6650.0474,,6624.7715,6386.4253,,6614.179,,6642.217,6475.252,,,6632.6997,6567.03,6609.52,6593.965,6576.6265,,,,6672.2886,6615.9766,,6610.5527,6607.396,6619.247,,6579.1997,,,6633.2354,,,6612.2554,,6643.6333,6649.2217,6540.5513,,6637.3955,6687.2217,6737.373
6/28/2023,6661.878906,6605.3647,6499.973,6621.6655,6514.831,6626.354,6499.5996,6632.393,6634.121,6609.578,6599.102,6617.303,6653.9844,6631.2383,6458.96,6535.354,6562.4443,6591.2896,6600.5786,6678.472,6655.8306,,6632.6255,6403.046,,6631.731,,6640.2993,6484.362,,,6633.398,6569.995,6620.371,6607.0254,6577.2656,,,,6670.1787,6624.716,,6620.1846,6607.8423,6616.174,,6593.2476,,,6644.8945,,,6621.764,,6642.8228,6644.9404,6537.9834,,6640.725,6687.0664,6742.3257
6/29/2023,6661.878906,6602.4116,6499.7793,6615.605,6496.8955,6618.9253,6502.1084,6628.147,6621.45,6615.207,6593.854,6610.3354,6645.2637,6631.9834,6460.811,6540.5684,6554.4634,6590.552,6598.2183,6685.8447,6646.6323,,6633.8813,6410.0615,,6634.631,,6637.01,6469.4336,,,6630.2964,6553.596,6607.9375,6605.189,6571.574,,,,6667.9956,6611.528,,6619.576,6602.7217,6616.3037,,6601.6997,,,6628.3384,,,6613.6113,,6636.8257,6642.5054,6545.6665,,6638.9556,6686.1807,6745.2964
6/30/2023,6661.878906,6597.9316,6499.893,6616.5073,6482.746,6610.5103,6502.4917,6628.3936,6611.4424,6619.893,6591.7007,6608.6025,6638.8677,6626.118,6456.854,6551.3906,6548.991,6584.546,6593.0947,6692.305,6640.8726,,6626.267,6395.6533,,6630.3594,,6638.435,6462.704,,,6628.3154,6551.664,6600.853,6596.4287,6569.132,,,,6666.1934,6610.31,,6611.6484,6601.942,6620.686,,6602.1147,,,6619.8857,,,6606.1274,,6632.9097,6643.5347,6557.452,,6633.3315,6684.6987,6736.108
7/1/2023,6661.878906,6599.671,6501.0576,6625.4336,6491.5117,6621.588,6506.309,6637.0747,6610.8438,6620.8906,6591.1436,6617.521,6637.9062,6630.7983,6461.219,6542.3237,6553.1274,6588.4473,6591.8228,6690.798,6640.314,,6628.218,6398.027,,6635.15,,6641.966,6463.0938,,,6632.741,6552.1104,6615.3184,6601.685,6574.6504,,,,6673.2827,6617.191,,6620.3086,6607.5684,6616.2773,,6605.573,,,6637.4204,,,6608.5425,,6637.4033,6648.348,6557.1743,,6635.084,6687.6567,6741.542
7/2/2023,6661.878906,6599.092,6501.837,6620.277,6489.9556,6619.9067,6508.736,6634.903,6610.8325,6621.1104,6593.2036,6612.639,6638.524,6630.629,6463.922,6546.9043,6552.334,6587.514,6592.495,6693.975,6639.5938,,6629.6553,6396.459,,6636.1206,6632.0117,6641.9014,6462.2505,6676.386,,6631.719,6553.0586,6609.1816,6602.957,6573.725,6590.919,6600.702,,6672.183,6619.1646,,6622.532,6607.618,6614.872,6624.399,6606.704,6654.9727,6659.893,6632.8354,,6657.417,6606.642,,6638.6636,6648.491,6556.51,,6635.988,6687.8496,6738.9614
7/3/2023,6696.71582,6598.1567,6502.366,6620.8394,6488.253,6617.4663,6510.188,6632.119,6610.5156,6620.8667,6593.836,6613.351,6637.8486,6629.392,6465.5674,6552.478,6550.9717,6585.1855,6593.221,6696.6475,6638.735,,6629.5073,6387.1836,,6634.972,6635.362,6641.733,6463.7393,6676.4077,,6631.5117,6554.678,6608.4907,6602.7993,6573.7515,6588.3193,6599.1494,,6671.517,6621.99,,6622.4717,6607.6504,6614.4272,6623.1514,6605.9756,6654.867,6659.2603,6631.4233,,6656.924,6607.3496,,6638.254,6647.678,6559.9556,,6635.6626,6688.307,6737.8975
7/4/2023,6681.753906,6626.2695,6512.5,6652.67,6520.5137,6641.9463,6529.108,6662.563,6638.834,6640.9727,6614.8916,6642.008,6663.2583,6650.9644,6483.564,6590.8115,6568.3765,6608.5493,6606.6704,6725.7866,6673.9854,,6651.9033,6427.2114,,6654.316,6648.42,6672.9014,6496.342,6686.773,,6661.6123,6594.1416,6632.1675,6625.3384,6610.7188,6612.3945,6620.11,,6699.53,6652.9263,,6647.379,6638.96,6645.0815,6644.103,6620.1997,6685.937,6683.5146,6654.5347,,6685.836,6627.3926,,6658.9155,6678.955,6593.1455,,6650.418,6721.4507,6771.1753
7/5/2023,6718.977051,6628.4297,6518.139,6635.861,6512.693,6640.335,6534.5415,6650.916,6631.906,6642.756,6615.243,6631.9146,6660.7563,6650.7075,6494.866,6587.0586,6567.44,6606.862,6614.529,6715.516,6663.866,,6655.558,6416.175,,6659.505,6655.0166,6658.2905,6493.5737,6692.3447,,6648.6665,6587.985,6629.1333,6628.62,6596.407,6612.6694,6622.453,,6685.931,6645.0527,,6649.9644,6626.165,6637.227,6646.647,6626.1978,6671.1836,6674.574,6651.847,,6671.5654,6621.1553,,6665.597,6664.729,6594.5938,,6660.187,6706.9307,6756.5015
