date,actual,gru_mcd_1234,gru_mcd_1234_L,gru_mcd_1234_U,gru_mcd_42,gru_mcd_42_L,gru_mcd_42_U,gru_mcd_73,gru_mcd_73_L,gru_mcd_73_U,gru_mcd_31415,gru_mcd_31415_L,gru_mcd_31415_U,gru_mcd_271828183,gru_mcd_271828183_L,gru_mcd_271828183_U,lstm_mcd_31415,lstm_mcd_31415_L,lstm_mcd_31415_U,lstm_mcd_73,lstm_mcd_73_L,lstm_mcd_73_U,lstm_mcd_271828183,lstm_mcd_271828183_L,lstm_mcd_271828183_U,lstm_mcd_42,lstm_mcd_42_L,lstm_mcd_42_U,lstm_mcd_1234,lstm_mcd_1234_L,lstm_mcd_1234_U,transformer_mcd_1234,transformer_mcd_1234_L,transformer_mcd_1234_U,transformer_mcd_31415,transformer_mcd_31415_L,transformer_mcd_31415_U,transformer_mcd_73,transformer_mcd_73_L,transformer_mcd_73_U,transformer_mcd_42,transformer_mcd_42_L,transformer_mcd_42_U,transformer_mcd_271828183,transformer_mcd_271828183_L,transformer_mcd_271828183_U,tcn_mcd_73,tcn_mcd_73_L,tcn_mcd_73_U,tcn_mcd_42,tcn_mcd_42_L,tcn_mcd_42_U,tcn_mcd_31415,tcn_mcd_31415_L,tcn_mcd_31415_U,tcn_mcd_1234,tcn_mcd_1234_L,tcn_mcd_1234_U,tcn_mcd_271828183,tcn_mcd_271828183_L,tcn_mcd_271828183_U,gru_hllla_31415,gru_hllla_31415_L,gru_hllla_31415_U,gru_hllla_73,gru_hllla_73_L,gru_hllla_73_U,gru_hllla_42,gru_hllla_42_L,gru_hllla_42_U,gru_hllla_1234,gru_hllla_1234_L,gru_hllla_1234_U,gru_hllla_271828183,gru_hllla_271828183_L,gru_hllla_271828183_U
2023-06-08,6666.330078,6604.7505,6500.727502,6715.518909,,,,,,,,,,,,,,,,6586.122,6496.790906,6675.873157,6624.1025,6520.885815,6736.533728,6595.0073,6486.282678,6713.059509,,,,6560.714,6503.962487792969,6609.689794921875,,,,,,,,,,6529.3296,6379.976220703125,6692.538244628906,,,,6582.792,6570.847973632813,6596.396643066406,,,,,,,,,,6615.1562,6481.609,6748.7036,,,,,,,6599.566,6508.6406,6690.491,,,
2023-06-09,6694.023926,6647.7144,6545.434375,6733.506506,,,,,,,,,,,,,,,,6604.246,6486.976428,6701.404834,6635.0967,6498.516248,6752.843994,6616.8823,6498.860388,6729.553931,,,,6599.3477,6552.844311523438,6653.941809082031,,,,,,,,,,6565.8765,6418.1083984375,6744.659802246093,,,,6629.951,6620.225537109375,6641.708288574218,,,,,,,,,,6639.218,6505.6797,6772.756,,,,,,,6645.613,6556.645,6734.5806,,,
2023-06-10,6694.023926,6657.578,6552.890247,6748.371008,,,,,,,,,,,,,,,,6620.585,6507.252478,6729.840747,6664.727,6545.121265,6789.451123,6638.5557,6552.069812,6739.262183,,,,6614.515,6554.940649414062,6674.285144042969,,,,,,,,,,6579.364,6464.685009765625,6727.26689453125,,,,6645.5933,6634.04501953125,6657.761462402344,,,,,,,,,,6659.3916,6526.814,6791.969,,,,,,,6648.699,6561.3555,6736.043,,,
2023-06-11,6694.023926,6654.645,6553.118213,6754.650403,,,,,,,,,,,,,,,,6638.121,6497.513184,6754.000439,6666.573,6543.647705,6780.989783,6640.1055,6485.420142,6744.907056,,,,6616.159,6561.871350097656,6675.890441894531,,,,,,,,,,6589.4624,6442.466296386719,6737.473193359375,,,,6645.924,6635.142761230469,6655.538391113281,,,,,,,,,,6667.2363,6535.341,6799.132,,,,,,,6656.1904,6568.351,6744.03,,,
2023-06-12,6722.373047,6665.3325,6562.373853,6757.590796,,,,,,,,,,,,,,,,6625.41,6504.628992,6767.744153,6671.3374,6558.250366,6785.300696,6652.7544,6530.401318,6759.106104,,,,6610.59,6551.355310058594,6677.062219238282,,,,,,,,,,6577.4307,6402.206530761719,6753.601098632812,,,,6645.835,6633.179150390625,6657.531567382813,,,,,,,,,,6670.442,6539.0093,6801.8745,,,,,,,6656.1016,6567.6514,6744.552,,,
2023-06-13,6719.01416,6673.8677,6560.386304,6747.072473,,,,,,,,,,,,,,,,6652.5195,6514.169739,6764.601392,6686.814,6539.522461,6805.122278,6657.703,6550.610291,6783.189771,,,,6622.458,6572.00732421875,6686.039404296875,,,,,,,,,,6596.8936,6455.354919433594,6791.853784179687,,,,6671.4434,6659.291198730469,6684.618408203125,,,,,,,,,,6686.8755,6555.956,6817.795,,,,,,,6679.7754,6593.1104,6766.4404,,,
2023-06-14,6699.716797,6690.022,6585.796094,6787.650037,,,,,,,,,,,,,,,,6644.4487,6526.1203,6760.282251,6693.9395,6569.506763,6806.308643,6676.3027,6564.150305,6794.941943,,,,6614.5513,6556.954956054688,6671.667761230468,,,,,,,,,,6599.774,6439.79150390625,6751.568530273437,,,,6665.6177,6652.477465820312,6675.854748535156,,,,,,,,,,6693.806,6563.426,6824.1865,,,,,,,6671.1904,6583.775,6758.606,,,
2023-06-15,6713.794922,6652.7656,6549.437683,6761.409045,,,,,,,,,,,,,,,,6644.698,6545.671362,6753.071606,6671.9307,6559.11217,6817.900696,6644.0127,6508.464966,6758.920801,,,,6598.109,6545.830920410156,6645.425305175781,,,,,,,,,,6598.1323,6453.669897460937,6764.812426757812,,,,6641.12,6626.992004394531,6651.048278808594,,,,,,,,,,6678.262,6547.885,6808.6396,,,,,,,6647.5117,6556.8594,6738.164,,,
2023-06-16,6698.546875,6674.9434,6562.737085,6770.170178,,,,,,,,,,,,,,,,6654.3438,6544.388574,6749.182739,6682.1973,6552.336633,6807.211035,6665.966,6539.550586,6770.402856,,,,6617.6567,6562.965307617187,6676.512268066406,,,,,,,,,,6614.8257,6466.124816894531,6797.27646484375,,,,6661.5586,6650.322131347656,6673.304968261718,,,,,,,,,,6694.9546,6564.549,6825.3604,,,,,,,6684.2144,6592.9097,6775.519,,,
2023-06-17,6698.546875,6652.7676,6522.54679,6763.186646,,,,,,,,,,,,,6674.1963,6494.43457,6832.94104,6629.857,6510.612244,6767.649268,6670.087,6548.658679,6793.135937,6659.096,6509.717212,6785.395862,,,,6601.247,6542.071118164063,6656.296044921875,,,,6494.9795,6388.892797851562,6624.679931640625,,,,6595.946,6458.873364257813,6815.593090820313,,,,6643.55,6631.873791503906,6653.624011230469,6686.8174,6640.568908691406,6757.533557128906,,,,6730.9062,6683.734069824219,6762.101647949219,6690.0127,6561.0103,6819.015,,,,,,,6651.6465,6557.906,6745.387,,,
